Sample,Block,Treatment,Material
22_61_CON_01_L_R1,61,Perm_access,Leaf
22_61_CON_01_L_R2,61,Perm_access,Leaf
22_61_CON_01_R_R1,61,Perm_access,Root
22_61_CON_01_R_R2,61,Perm_access,Root
22_61_CON_02_L_R1,61,Perm_access,Leaf
22_61_CON_02_L_R2,61,Perm_access,Leaf
22_61_CON_02_R_R1,61,Perm_access,Root
22_61_CON_02_R_R2,61,Perm_access,Root
22_61_CON_02_S_R1,61,Perm_access,Soil
22_61_CON_02_S_R2,61,Perm_access,Soil
22_61_CON_03_L_R1,61,Perm_access,Leaf
22_61_CON_03_L_R2,61,Perm_access,Leaf
22_61_CON_03_R_R1,61,Perm_access,Root
22_61_CON_03_R_R2,61,Perm_access,Root
22_61_CON_04_L_R1,61,Perm_access,Leaf
22_61_CON_04_L_R2,61,Perm_access,Leaf
22_61_CON_04_R_R1,61,Perm_access,Root
22_61_CON_04_R_R2,61,Perm_access,Root
22_61_CON_04_S_R1,61,Perm_access,Soil
22_61_CON_04_S_R2,61,Perm_access,Soil
22_61_CON_05_L_R1,61,Perm_access,Leaf
22_61_CON_05_L_R2,61,Perm_access,Leaf
22_61_CON_05_R_R1,61,Perm_access,Root
22_61_CON_05_R_R2,61,Perm_access,Root
22_61_CON_06_L_R1,61,Perm_access,Leaf
22_61_CON_06_L_R2,61,Perm_access,Leaf
22_61_CON_06_R_R1,61,Perm_access,Root
22_61_CON_06_R_R2,61,Perm_access,Root
22_61_CON_06_S_R1,61,Perm_access,Soil
22_61_CON_06_S_R2,61,Perm_access,Soil
22_61_CON_07_L_R1,61,Perm_access,Leaf
22_61_CON_07_L_R2,61,Perm_access,Leaf
22_61_CON_07_R_R1,61,Perm_access,Root
22_61_CON_07_R_R2,61,Perm_access,Root
22_61_CON_08_L_R1,61,Perm_access,Leaf
22_61_CON_08_L_R2,61,Perm_access,Leaf
22_61_CON_08_R_R1,61,Perm_access,Root
22_61_CON_08_R_R2,61,Perm_access,Root
22_61_CON_08_S_R1,61,Perm_access,Soil
22_61_CON_08_S_R2,61,Perm_access,Soil
22_61_CON_09_L_R1,61,Perm_access,Leaf
22_61_CON_09_L_R2,61,Perm_access,Leaf
22_61_CON_09_R_R1,61,Perm_access,Root
22_61_CON_09_R_R2,61,Perm_access,Root
22_61_CON_10_L_R1,61,Perm_access,Leaf
22_61_CON_10_L_R2,61,Perm_access,Leaf
22_61_CON_10_R_R1,61,Perm_access,Root
22_61_CON_10_R_R2,61,Perm_access,Root
22_61_CON_10_S_R1,61,Perm_access,Soil
22_61_CON_10_S_R2,61,Perm_access,Soil
22_61_MW_01_L_R1,61,Mowing,Leaf
22_61_MW_01_L_R2,61,Mowing,Leaf
22_61_MW_01_R_R1,61,Mowing,Root
22_61_MW_01_R_R2,61,Mowing,Root
22_61_MW_02_L_R1,61,Mowing,Leaf
22_61_MW_02_L_R2,61,Mowing,Leaf
22_61_MW_02_R_R1,61,Mowing,Root
22_61_MW_02_R_R2,61,Mowing,Root
22_61_MW_02_S_R1,61,Mowing,Soil
22_61_MW_02_S_R2,61,Mowing,Soil
22_61_MW_03_L_R1,61,Mowing,Leaf
22_61_MW_03_L_R2,61,Mowing,Leaf
22_61_MW_03_R_R1,61,Mowing,Root
22_61_MW_03_R_R2,61,Mowing,Root
22_61_MW_04_L_R1,61,Mowing,Leaf
22_61_MW_04_L_R2,61,Mowing,Leaf
22_61_MW_04_R_R1,61,Mowing,Root
22_61_MW_04_R_R2,61,Mowing,Root
22_61_MW_04_S_R1,61,Mowing,Soil
22_61_MW_04_S_R2,61,Mowing,Soil
22_61_MW_05_L_R1,61,Mowing,Leaf
22_61_MW_05_L_R2,61,Mowing,Leaf
22_61_MW_05_R_R1,61,Mowing,Root
22_61_MW_05_R_R2,61,Mowing,Root
22_61_MW_06_L_R1,61,Mowing,Leaf
22_61_MW_06_L_R2,61,Mowing,Leaf
22_61_MW_06_R_R1,61,Mowing,Root
22_61_MW_06_R_R2,61,Mowing,Root
22_61_MW_06_S_R1,61,Mowing,Soil
22_61_MW_06_S_R2,61,Mowing,Soil
22_61_MW_07_L_R1,61,Mowing,Leaf
22_61_MW_07_L_R2,61,Mowing,Leaf
22_61_MW_07_R_R1,61,Mowing,Root
22_61_MW_07_R_R2,61,Mowing,Root
22_61_MW_08_L_R1,61,Mowing,Leaf
22_61_MW_08_L_R2,61,Mowing,Leaf
22_61_MW_08_R_R1,61,Mowing,Root
22_61_MW_08_R_R2,61,Mowing,Root
22_61_MW_08_S_R1,61,Mowing,Soil
22_61_MW_08_S_R2,61,Mowing,Soil
22_61_MW_09_L_R1,61,Mowing,Leaf
22_61_MW_09_L_R2,61,Mowing,Leaf
22_61_MW_09_R_R1,61,Mowing,Root
22_61_MW_09_R_R2,61,Mowing,Root
22_61_MW_10_L_R1,61,Mowing,Leaf
22_61_MW_10_L_R2,61,Mowing,Leaf
22_61_MW_10_R_R1,61,Mowing,Root
22_61_MW_10_R_R2,61,Mowing,Root
22_61_MW_10_S_R1,61,Mowing,Soil
22_61_MW_10_S_R2,61,Mowing,Soil
22_61_PE_01_L_R1,61,Perm_exclosure,Leaf
22_61_PE_01_L_R2,61,Perm_exclosure,Leaf
22_61_PE_01_R_R1,61,Perm_exclosure,Root
22_61_PE_01_R_R2,61,Perm_exclosure,Root
22_61_PE_02_L_R1,61,Perm_exclosure,Leaf
22_61_PE_02_L_R2,61,Perm_exclosure,Leaf
22_61_PE_02_R_R1,61,Perm_exclosure,Root
22_61_PE_02_R_R2,61,Perm_exclosure,Root
22_61_PE_02_S_R1,61,Perm_exclosure,Soil
22_61_PE_02_S_R2,61,Perm_exclosure,Soil
22_61_PE_03_L_R1,61,Perm_exclosure,Leaf
22_61_PE_03_L_R2,61,Perm_exclosure,Leaf
22_61_PE_03_R_R1,61,Perm_exclosure,Root
22_61_PE_03_R_R2,61,Perm_exclosure,Root
22_61_PE_04_L_R1,61,Perm_exclosure,Leaf
22_61_PE_04_L_R2,61,Perm_exclosure,Leaf
22_61_PE_04_R_R1,61,Perm_exclosure,Root
22_61_PE_04_R_R2,61,Perm_exclosure,Root
22_61_PE_04_S_R1,61,Perm_exclosure,Soil
22_61_PE_04_S_R2,61,Perm_exclosure,Soil
22_61_PE_05_L_R1,61,Perm_exclosure,Leaf
22_61_PE_05_L_R2,61,Perm_exclosure,Leaf
22_61_PE_05_R_R1,61,Perm_exclosure,Root
22_61_PE_05_R_R2,61,Perm_exclosure,Root
22_61_PE_06_L_R1,61,Perm_exclosure,Leaf
22_61_PE_06_L_R2,61,Perm_exclosure,Leaf
22_61_PE_06_R_R1,61,Perm_exclosure,Root
22_61_PE_06_R_R2,61,Perm_exclosure,Root
22_61_PE_06_S_R1,61,Perm_exclosure,Soil
22_61_PE_06_S_R2,61,Perm_exclosure,Soil
22_61_PE_07_L_R1,61,Perm_exclosure,Leaf
22_61_PE_07_L_R2,61,Perm_exclosure,Leaf
22_61_PE_07_R_R1,61,Perm_exclosure,Root
22_61_PE_07_R_R2,61,Perm_exclosure,Root
22_61_PE_08_L_R1,61,Perm_exclosure,Leaf
22_61_PE_08_L_R2,61,Perm_exclosure,Leaf
22_61_PE_08_R_R1,61,Perm_exclosure,Root
22_61_PE_08_R_R2,61,Perm_exclosure,Root
22_61_PE_08_S_R1,61,Perm_exclosure,Soil
22_61_PE_08_S_R2,61,Perm_exclosure,Soil
22_61_PE_09_L_R1,61,Perm_exclosure,Leaf
22_61_PE_09_L_R2,61,Perm_exclosure,Leaf
22_61_PE_09_R_R1,61,Perm_exclosure,Root
22_61_PE_09_R_R2,61,Perm_exclosure,Root
22_61_PE_10_L_R1,61,Perm_exclosure,Leaf
22_61_PE_10_L_R2,61,Perm_exclosure,Leaf
22_61_PE_10_R_R1,61,Perm_exclosure,Root
22_61_PE_10_R_R2,61,Perm_exclosure,Root
22_61_PE_10_S_R1,61,Perm_exclosure,Soil
22_61_PE_10_S_R2,61,Perm_exclosure,Soil
22_62_CON_01_L_R1,62,Perm_access,Leaf
22_62_CON_01_L_R2,62,Perm_access,Leaf
22_62_CON_01_R_R1,62,Perm_access,Root
22_62_CON_01_R_R2,62,Perm_access,Root
22_62_CON_02_L_R1,62,Perm_access,Leaf
22_62_CON_02_L_R2,62,Perm_access,Leaf
22_62_CON_02_R_R1,62,Perm_access,Root
22_62_CON_02_R_R2,62,Perm_access,Root
22_62_CON_02_S_R1,62,Perm_access,Soil
22_62_CON_02_S_R2,62,Perm_access,Soil
22_62_CON_03_L_R1,62,Perm_access,Leaf
22_62_CON_03_L_R2,62,Perm_access,Leaf
22_62_CON_03_R_R1,62,Perm_access,Root
22_62_CON_03_R_R2,62,Perm_access,Root
22_62_CON_04_L_R1,62,Perm_access,Leaf
22_62_CON_04_L_R2,62,Perm_access,Leaf
22_62_CON_04_R_R1,62,Perm_access,Root
22_62_CON_04_R_R2,62,Perm_access,Root
22_62_CON_04_S_R1,62,Perm_access,Soil
22_62_CON_04_S_R2,62,Perm_access,Soil
22_62_CON_05_L_R1,62,Perm_access,Leaf
22_62_CON_05_L_R2,62,Perm_access,Leaf
22_62_CON_05_R_R1,62,Perm_access,Root
22_62_CON_05_R_R2,62,Perm_access,Root
22_62_CON_06_L_R1,62,Perm_access,Leaf
22_62_CON_06_L_R2,62,Perm_access,Leaf
22_62_CON_06_R_R1,62,Perm_access,Root
22_62_CON_06_R_R2,62,Perm_access,Root
22_62_CON_06_S_R1,62,Perm_access,Soil
22_62_CON_06_S_R2,62,Perm_access,Soil
22_62_CON_07_L_R1,62,Perm_access,Leaf
22_62_CON_07_L_R2,62,Perm_access,Leaf
22_62_CON_07_R_R1,62,Perm_access,Root
22_62_CON_07_R_R2,62,Perm_access,Root
22_62_CON_08_L_R1,62,Perm_access,Leaf
22_62_CON_08_L_R2,62,Perm_access,Leaf
22_62_CON_08_R_R1,62,Perm_access,Root
22_62_CON_08_R_R2,62,Perm_access,Root
22_62_CON_08_S_R1,62,Perm_access,Soil
22_62_CON_08_S_R2,62,Perm_access,Soil
22_62_CON_09_L_R1,62,Perm_access,Leaf
22_62_CON_09_L_R2,62,Perm_access,Leaf
22_62_CON_09_R_R1,62,Perm_access,Root
22_62_CON_09_R_R2,62,Perm_access,Root
22_62_CON_10_L_R1,62,Perm_access,Leaf
22_62_CON_10_L_R2,62,Perm_access,Leaf
22_62_CON_10_R_R1,62,Perm_access,Root
22_62_CON_10_R_R2,62,Perm_access,Root
22_62_CON_10_S_R1,62,Perm_access,Soil
22_62_CON_10_S_R2,62,Perm_access,Soil
22_62_MW_01_L_R1,62,Mowing,Leaf
22_62_MW_01_L_R2,62,Mowing,Leaf
22_62_MW_01_R_R1,62,Mowing,Root
22_62_MW_01_R_R2,62,Mowing,Root
22_62_MW_02_L_R1,62,Mowing,Leaf
22_62_MW_02_L_R2,62,Mowing,Leaf
22_62_MW_02_R_R1,62,Mowing,Root
22_62_MW_02_R_R2,62,Mowing,Root
22_62_MW_02_S_R1,62,Mowing,Soil
22_62_MW_02_S_R2,62,Mowing,Soil
22_62_MW_03_L_R1,62,Mowing,Leaf
22_62_MW_03_L_R2,62,Mowing,Leaf
22_62_MW_03_R_R1,62,Mowing,Root
22_62_MW_03_R_R2,62,Mowing,Root
22_62_MW_04_L_R1,62,Mowing,Leaf
22_62_MW_04_L_R2,62,Mowing,Leaf
22_62_MW_04_R_R1,62,Mowing,Root
22_62_MW_04_R_R2,62,Mowing,Root
22_62_MW_04_S_R1,62,Mowing,Soil
22_62_MW_04_S_R2,62,Mowing,Soil
22_62_MW_05_L_R1,62,Mowing,Leaf
22_62_MW_05_L_R2,62,Mowing,Leaf
22_62_MW_05_R_R1,62,Mowing,Root
22_62_MW_05_R_R2,62,Mowing,Root
22_62_MW_06_L_R1,62,Mowing,Leaf
22_62_MW_06_L_R2,62,Mowing,Leaf
22_62_MW_06_R_R1,62,Mowing,Root
22_62_MW_06_R_R2,62,Mowing,Root
22_62_MW_06_S_R1,62,Mowing,Soil
22_62_MW_06_S_R2,62,Mowing,Soil
22_62_MW_07_L_R1,62,Mowing,Leaf
22_62_MW_07_L_R2,62,Mowing,Leaf
22_62_MW_07_R_R1,62,Mowing,Root
22_62_MW_07_R_R2,62,Mowing,Root
22_62_MW_08_L_R1,62,Mowing,Leaf
22_62_MW_08_L_R2,62,Mowing,Leaf
22_62_MW_08_R_R1,62,Mowing,Root
22_62_MW_08_R_R2,62,Mowing,Root
22_62_MW_08_S_R1,62,Mowing,Soil
22_62_MW_08_S_R2,62,Mowing,Soil
22_62_MW_09_L_R1,62,Mowing,Leaf
22_62_MW_09_L_R2,62,Mowing,Leaf
22_62_MW_09_R_R1,62,Mowing,Root
22_62_MW_09_R_R2,62,Mowing,Root
22_62_MW_10_L_R1,62,Mowing,Leaf
22_62_MW_10_L_R2,62,Mowing,Leaf
22_62_MW_10_R_R1,62,Mowing,Root
22_62_MW_10_R_R2,62,Mowing,Root
22_62_MW_10_S_R1,62,Mowing,Soil
22_62_MW_10_S_R2,62,Mowing,Soil
22_62_PE_01_L_R1,62,Perm_exclosure,Leaf
22_62_PE_01_L_R2,62,Perm_exclosure,Leaf
22_62_PE_01_R_R1,62,Perm_exclosure,Root
22_62_PE_01_R_R2,62,Perm_exclosure,Root
22_62_PE_02_L_R1,62,Perm_exclosure,Leaf
22_62_PE_02_L_R2,62,Perm_exclosure,Leaf
22_62_PE_02_R_R1,62,Perm_exclosure,Root
22_62_PE_02_R_R2,62,Perm_exclosure,Root
22_62_PE_02_S_R1,62,Perm_exclosure,Soil
22_62_PE_02_S_R2,62,Perm_exclosure,Soil
22_62_PE_03_L_R1,62,Perm_exclosure,Leaf
22_62_PE_03_L_R2,62,Perm_exclosure,Leaf
22_62_PE_03_R_R1,62,Perm_exclosure,Root
22_62_PE_03_R_R2,62,Perm_exclosure,Root
22_62_PE_04_L_R1,62,Perm_exclosure,Leaf
22_62_PE_04_L_R2,62,Perm_exclosure,Leaf
22_62_PE_04_R_R1,62,Perm_exclosure,Root
22_62_PE_04_R_R2,62,Perm_exclosure,Root
22_62_PE_04_S_R1,62,Perm_exclosure,Soil
22_62_PE_04_S_R2,62,Perm_exclosure,Soil
22_62_PE_05_L_R1,62,Perm_exclosure,Leaf
22_62_PE_05_L_R2,62,Perm_exclosure,Leaf
22_62_PE_05_R_R1,62,Perm_exclosure,Root
22_62_PE_05_R_R2,62,Perm_exclosure,Root
22_62_PE_06_L_R1,62,Perm_exclosure,Leaf
22_62_PE_06_L_R2,62,Perm_exclosure,Leaf
22_62_PE_06_R_R1,62,Perm_exclosure,Root
22_62_PE_06_R_R2,62,Perm_exclosure,Root
22_62_PE_06_S_R1,62,Perm_exclosure,Soil
22_62_PE_06_S_R2,62,Perm_exclosure,Soil
22_62_PE_07_L_R1,62,Perm_exclosure,Leaf
22_62_PE_07_L_R2,62,Perm_exclosure,Leaf
22_62_PE_07_R_R1,62,Perm_exclosure,Root
22_62_PE_07_R_R2,62,Perm_exclosure,Root
22_62_PE_08_L_R1,62,Perm_exclosure,Leaf
22_62_PE_08_L_R2,62,Perm_exclosure,Leaf
22_62_PE_08_R_R1,62,Perm_exclosure,Root
22_62_PE_08_R_R2,62,Perm_exclosure,Root
22_62_PE_08_S_R1,62,Perm_exclosure,Soil
22_62_PE_08_S_R2,62,Perm_exclosure,Soil
22_62_PE_09_L_R1,62,Perm_exclosure,Leaf
22_62_PE_09_L_R2,62,Perm_exclosure,Leaf
22_62_PE_09_R_R1,62,Perm_exclosure,Root
22_62_PE_09_R_R2,62,Perm_exclosure,Root
22_62_PE_10_L_R1,62,Perm_exclosure,Leaf
22_62_PE_10_L_R2,62,Perm_exclosure,Leaf
22_62_PE_10_R_R1,62,Perm_exclosure,Root
22_62_PE_10_R_R2,62,Perm_exclosure,Root
22_62_PE_10_S_R1,62,Perm_exclosure,Soil
22_62_PE_10_S_R2,62,Perm_exclosure,Soil
